genre,sold by,daily average.amazon revenue,daily average.author revenue,daily average.gross sales,daily average.publisher revenue,daily average.units sold,publisher.name,publisher.type,statistics.average rating,statistics.sale price,statistics.sales rank,statistics.total reviews
genre fiction,"Amazon Digital Services,  Inc.",7826.6045,4214.3255,12040.93,0.0,1507,AmazonEncore,amazon,4.25,7.99,67,3965
genre fiction,Hachette Book Group,2682.616,2682.616,13413.08,8047.848,1492,Grand Central Publishing,big five,4.32,8.99,68,1402
genre fiction,"Amazon Digital Services,  Inc.",1889.8035,1017.5865,2907.39,0.0,1461,(Indie Publisher),indie,4.64,1.99,70,45
genre fiction,Penguin Group (USA) LLC,2310.708,2310.708,11553.54,6932.124,1446,Berkley,big five,3.55,7.99,71,45
genre fiction,"Amazon Digital Services,  Inc.",3708.705,1996.995,5705.7,0.0,1430,Skyscape,amazon,4.38,3.99,72,18
genre fiction,Penguin Group (USA) LLC,1978.17,1978.17,9890.85,5934.51,1415,Penguin Books,big five,4.66,6.99,73,2851
genre fiction,Hachette Book Group,1049.072,1049.072,5245.36,3147.216,1384,Forever,big five,4.33,3.79,75,116
nonfiction,"Amazon Digital Services,  Inc.",1165.328,1165.328,5826.64,3495.984,1384,(Single-Author Publisher),single author,4.33,4.21,75,86
genre fiction,Hachette Book Group,544.862,544.862,2724.31,1634.586,1369,Grand Central Publishing,big five,4.61,1.99,76,18
genre fiction,Hachette Book Group,1092.462,1092.462,5462.31,3277.386,1369,Forever,big five,4.53,3.99,76,145
genre fiction,"Amazon Digital Services,  Inc.",4388.4555,2363.0145,6751.47,0.0,1353,47North,amazon,4.28,4.99,77,1180
genre fiction,"Amazon Digital Services,  Inc.",2002.986,4673.634,6676.62,0.0,1338,(Indie Publisher),indie,4.51,4.99,78,1230
genre fiction,"Amazon Digital Services,  Inc.",261.954,261.954,1309.77,785.862,1323,(Single-Author Publisher),single author,3.5,0.99,79,36
genre fiction,HarperCollins Publishers,1186.756,1186.756,5933.78,3560.268,1307,William Morrow Paperbacks,big five,4.62,4.54,80,78
genre fiction,Hachette Book Group,1696.486,1696.486,8482.43,5089.458,1307,Grand Central Publishing,big five,4.57,6.49,80,3156
genre fiction,Random House LLC,1289.416,1289.416,6447.08,3868.248,1292,Vintage,big five,3.38,4.99,81,23362
nonfiction,HarperCollins Publishers,507.848,507.848,2539.24,1523.544,1276,HarperCollins e-books,big five,4.65,1.99,82,140
genre fiction,"Amazon Digital Services,  Inc.",1472.31,3435.39,4907.7,0.0,1230,(Indie Publisher),indie,4.64,3.99,85,251
genre fiction,"Amazon Digital Services,  Inc.",781.8525,420.9975,1202.85,0.0,1215,(Indie Publisher),indie,4.67,0.99,86,98
genre fiction,HarperCollins Publishers,483.57,483.57,2417.85,1450.71,1215,HarperCollins e-books,big five,4.03,1.99,86,637
genre fiction,"Amazon Digital Services,  Inc.",772.2,415.8,1188.0,0.0,1200,(Indie Publisher),indie,4.83,0.99,87,6
fiction,"Amazon Digital Services,  Inc.",1552.2,835.8,2388.0,0.0,1200,AmazonEncore,amazon,4.3,1.99,87,1760
genre fiction,Macmillan,471.232,471.232,2356.16,1413.696,1184,St. Martin's Press,big five,4.41,1.99,88,882
